AMD Ryzen 7 7800X3D,369,8,4.2,120,1
AMD Ryzen 5 7600X,224,6,4.7,105,1
AMD Ryzen 5 5600X,154,6,3.7,65,0
Intel Core i9-14900K,545,24,3.2,125,1
AMD Ryzen 5 7600,211,6,3.8,65,1
Intel Core i7-13700K,371,16,3.4,125,1
AMD Ryzen 5 5600,135,6,3.5,65,0
Intel Core i5-12400F,149,6,2.5,65,0
AMD Ryzen 7 5800X,220,8,3.8,105,0
AMD Ryzen 5 5500,98,6,3.6,65,0
Intel Core i7-14700K,400,20,3.4,125,1
AMD Ryzen 5 3600,110,6,3.6,65,0
AMD Ryzen 7 7700X,288,8,4.5,105,1
AMD Ryzen 9 7950X3D,599,16,4.2,120,1
Intel Core i5-12600K,170,10,3.7,125,1
AMD Ryzen 7 5700X,180,8,3.4,65,0
Intel Core i7-12700K,237,12,3.6,125,1
AMD Ryzen 7 5800X3D,296,8,3.4,105,0
Intel Core i5-13600K,298,14,3.5,125,1
AMD Ryzen 5 5600G,139,6,3.9,65,1
AMD Ryzen 9 7900X,383,12,4.7,170,1
Intel Core i5-12600KF,153,10,3.7,125,0
Intel Core i3-12100F,97,4,3.3,58,0
AMD Ryzen 9 5900X,299,12,3.7,105,0
AMD Threadripper 3990X,4255,64,2.9,280,0
Intel Core i7-14700KF,379,20,3.4,125,0
Intel Core i5-13400F,204,10,2.5,65,0
AMD Ryzen 5 4500,79,6,3.6,65,0
Intel Core i9-13900K,525,24,3,125,1
Intel Core i5-14600K,300,14,3.5,125,1
Intel Core i9-12900K,325,16,3.2,125,1
AMD Ryzen 9 7950X,550,16,4.5,170,1
AMD Ryzen 7 5700G,170,8,3.8,65,1
Intel Core i5-13600KF,286,14,3.5,125,0
AMD Ryzen 7 3700X,210,8,3.6,65,0
AMD Ryzen 7 7700,293,8,3.6,65,1
Intel Core i7-12700KF,210,12,3.6,125,0
Intel Core i9-14900KF,540,24,3.2,125,0
Intel Core i5-14600KF,285,14,3.5,125,0
AMD Ryzen 9 7900X3D,410,12,4.4,120,1
AMD Ryzen 9 5950X,367,16,3.4,105,0
Intel Core i7-13700KF,370,16,3.4,125,0
AMD Ryzen 5 7500F,230,6,3.7,65,0
Intel Core i5-10400F,113,6,2.9,65,0
AMD Ryzen 7 8700G,330,8,4.2,65,1
AMD Ryzen 3 4100,70,4,3.8,65,0
Intel Core i5-12400,160,6,2.5,65,1
AMD Ryzen 7 5700X3D,247,8,3,105,0
AMD Ryzen 5 8500G,179,6,4.1,65,1
AMD Ryzen 5 4600G,113,6,3.7,65,1