Corsair RM750e (2023),79,ATX,80+ Gold,750,Full,Black
Corsair RM850e (2023),119,ATX,80+ Gold,850,Full,Black
Corsair RM850x (2021),135,ATX,80+ Gold,850,Full,Black
Corsair RM1000e (2023),160,ATX,80+ Gold,1000,Full,Black
Corsair CX650M (2021),70,ATX,80+ Bronze,650,Semi,Black
Corsair RM650 (2023),90,ATX,80+ Gold,650,Full,Black
Thermaltake Smart,40,ATX,80+,500,Non,Black
Corsair RM850,140,ATX,80+ Gold,850,Full,White / Black
Corsair SF750,170,SFX,80+ Platinum,750,Full,Black
Cooler Master MWE Gold 850 - V2,96,ATX,80+ Gold,850,Full,Black
MSI MAG A650BN,68,ATX,80+ Bronze,650,Non,Black
Corsair RM1000x (2021),175,ATX,80+ Gold,1000,Full,Black
Gigabyte UD750GM,85,ATX,80+ Gold,750,Full,Black
MSI MAG A550BN,60,ATX,80+ Bronze,550,Non,Black
Asus ROG THOR 1600T Gaming,632,ATX,80+ Titanium,1600,Full,Silver / Black
Thermaltake Smart,45,ATX,80+,600,Non,White
Thermaltake Toughpower GX2,65,ATX,80+ Gold,600,Non,Black
Corsair RM750x (2021),120,ATX,80+ Gold,750,Full,Black
Corsair SF850L,129,SFX,80+ Gold,850,Full,Black
MSI MAG A850GL PCIE5,100,ATX,80+ Gold,850,Full,Black
Thermaltake Toughpower GF1 (2024),80,ATX,80+ Gold,750,Full,Black
MSI MAG A750GL PCIE5,94,ATX,80+ Gold,750,Full,Black
Silverstone HELA,623,ATX,80+,2050,Full,Black / White
Apevia Galaxy,55,ATX,80+ Gold,650,Semi,Black
Corsair HX1500i (2023),360,ATX,80+ Platinum,1500,Full,Black
Corsair RM750,130,ATX,80+ Gold,750,Full,White / Black
Apevia Prestige,52,ATX,80+ Gold,600,Non,Black
Corsair CX750M (2021),80,ATX,80+ Bronze,750,Semi,Black
SeaSonic FOCUS PLUS 850 Gold,120,ATX,80+ Gold,850,Full,Black
be quiet! Pure Power 12 M,95,ATX,80+ Gold,750,Full,Black
Corsair AX1600i,610,ATX,80+ Titanium,1600,Full,Black
Asus TUF Gaming B,51,ATX,80+ Bronze,450,Non,Black
be quiet! Pure Power 12 M,110,ATX,80+ Gold,850,Full,Black
be quiet! Dark Power 13,250,ATX,80+ Titanium,1000,Full,Black
Corsair AX1200,799,ATX,80+ Gold,1200,Full,Black
be quiet! Pure Power 12 M,130,ATX,80+ Gold,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,140,ATX,80+ Gold,1050,Full,White
Asus ROG Strix,163,ATX,80+ Gold,850,Full,White
Corsair CV650,75,ATX,80+ Bronze,650,Non,Black
EVGA 500 BR,60,ATX,80+ Bronze,500,Non,Black
NZXT C850 (2022),115,ATX,80+ Gold,850,Full,Black
Corsair SF1000L,160,SFX,80+ Gold,1000,Full,Black
MSI A1000G PCIE5,160,ATX,80+ Gold,1000,Full,Black
Corsair HX1200 Platinum,429,ATX,80+ Platinum,1200,Full,Black
EVGA SuperNOVA 850 GT,125,ATX,80+ Gold,850,Full,Black
Corsair CX (2023),60,ATX,80+ Bronze,550,Non,Black
Thermaltake Smart,55,ATX,80+,700,Non,Black
Corsair CV550,65,ATX,80+ Bronze,550,Non,Black
MSI MPG A850G PCIE5,129,ATX,80+ Gold,850,Full,Black
Thermaltake Smart BM3,70,ATX,80+ Bronze,750,Semi,Black