name,price,core_count,core_clock,tdp,graphics
AMD Ryzen 7 7800X3D,369,8,4.2,120,1
AMD Ryzen 5 7600X,224,6,4.7,105,1
AMD Ryzen 5 5600X,154.15,6,3.7,65,0
Intel Core i9-14900K,544.99,24,3.2,125,1
AMD Ryzen 5 7600,210.99,6,3.8,65,1
Intel Core i7-13700K,370.99,16,3.4,125,1
AMD Ryzen 5 5600,134.99,6,3.5,65,0
Intel Core i5-12400F,148.99,6,2.5,65,0
AMD Ryzen 7 5800X,219.13,8,3.8,105,0
AMD Ryzen 5 5500,98.2,6,3.6,65,0
Intel Core i7-14700K,399.99,20,3.4,125,1
AMD Ryzen 5 3600,109.31,6,3.6,65,0
AMD Ryzen 7 7700X,287.99,8,4.5,105,1
AMD Ryzen 9 7950X3D,599,16,4.2,120,1
Intel Core i5-12600K,169.96,10,3.7,125,1
AMD Ryzen 7 5700X,179.61,8,3.4,65,0
Intel Core i7-12700K,236.98,12,3.6,125,1
AMD Ryzen 7 5800X3D,295.58,8,3.4,105,0
Intel Core i5-13600K,297.99,14,3.5,125,1
AMD Ryzen 5 5600G,139,6,3.9,65,1
AMD Ryzen 9 7900X,383.23,12,4.7,170,1
Intel Core i5-12600KF,152.97,10,3.7,125,0
Intel Core i3-12100F,96.99,4,3.3,58,0
AMD Ryzen 9 5900X,298.99,12,3.7,105,0
AMD Threadripper 3990X,4255,64,2.9,280,0
Intel Core i7-14700KF,379,20,3.4,125,0
Intel Core i5-13400F,203.99,10,2.5,65,0
AMD Ryzen 5 4500,78.5,6,3.6,65,0
Intel Core i9-13900K,524.99,24,3,125,1
Intel Core i5-14600K,299.99,14,3.5,125,1
Intel Core i9-12900K,324.99,16,3.2,125,1
AMD Ryzen 9 7950X,549.99,16,4.5,170,1
AMD Ryzen 7 5700G,169.99,8,3.8,65,1
Intel Core i5-13600KF,285.98,14,3.5,125,0
AMD Ryzen 7 3700X,210,8,3.6,65,0
AMD Ryzen 7 7700,293.08,8,3.6,65,1
Intel Core i7-12700KF,209.98,12,3.6,125,0
Intel Core i9-14900KF,539,24,3.2,125,0
Intel Core i5-14600KF,284.98,14,3.5,125,0
AMD Ryzen 9 7900X3D,409.98,12,4.4,120,1
AMD Ryzen 9 5950X,367,16,3.4,105,0
Intel Core i7-13700KF,369.99,16,3.4,125,0
AMD Ryzen 5 7500F,,6,3.7,65,0
Intel Core i5-10400F,112.99,6,2.9,65,0
AMD Ryzen 7 8700G,329,8,4.2,65,1
AMD Ryzen 3 4100,69,4,3.8,65,0
Intel Core i5-12400,159.49,6,2.5,65,1
AMD Ryzen 7 5700X3D,247,8,3,105,0
AMD Ryzen 5 8500G,179,6,4.1,65,1
AMD Ryzen 5 4600G,112.91,6,3.7,65,1