name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980 Pro,169.99,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,91,1000,0.091,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,61.7,1000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,89.99,1000,0.09,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,167.75,2000,0.084,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,309.99,4000,0.077,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,68.98,1000,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,158.99,2000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,122.28,2000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,59.99,500,0.12,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Intel 750,2488.87,1200,2.074,SSD,,PCIe,PCIe x4
Western Digital Black SN770,132.11,2000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,74.98,1000,0.075,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital Black SN850X,84.99,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,61.99,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,114.9,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,109.99,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,84.99,4000,0.021,5400,256,3.5,SATA 6.0 Gb/s
Crucial P3,44.99,500,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,69,1000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,296.02,4000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,1199.99,8000,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,499.99,4000,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,399.99,22000,0.018,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,42.49,1000,0.042,7200,64,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,159.99,2000,0.08,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,38.99,512,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP400,1352.24,8000,0.169,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,149.99,2000,0.075,SSD,2048,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,114.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,234.99,4000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0,79.99,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,48.99,1000,0.049,7200,64,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,500.96,8000,0.063,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,43.8,500,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,182.99,2000,0.091,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,549.99,24000,0.023,7200,512,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,289.99,4000,0.072,SSD,4096,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,106.95,1000,0.107,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,105.99,2000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,79.98,1000,0.08,SSD,1024,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,109.99,8000,0.014,5400,256,3.5,SATA 6.0 Gb/s
Kingston KC3000,161.5,2048,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,299.99,2000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 Pro w/Heatsink,329.99,4000,0.082,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,116.5,2000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4